Area,MajorAxisLenght,MinorAxisLenght,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,Class
280,23.4615,16.6401,0.705,-65.4294,318,280,1,18.8814,0.8805,0.56,72.704,sunflowerSeeds
,,,,,,,,,,,,
1863,128.108,18.9886,0.989,-8.056,1954,1863,1,48.7036,0.9534,0.5476,261.178,sunflowerSeeds
,,,,,,,,,,,,
1770,68.4978,33.4977,0.8723,-44.3834,1842,1771,0,47.4725,0.9609,0.5984,169.068,sunflowerSeeds
,,,,,,,,,,,,
32,6.5828,6.5447,0.1074,45.0,33,32,1,6.3831,0.9697,0.8889,18.616,sunflowerSeeds
,,,,,,,,,,,,
1875,109.6717,23.1009,0.9776,-22.1913,2213,1876,0,48.8603,0.8473,0.4036,238.024,sunflowerSeeds
,,,,,,,,,,,,
789,56.1756,17.9521,0.9476,-0.3978,817,789,1,31.6952,0.9657,0.797,120.38,peas
,,,,,,,,,,,,
141,21.5219,9.8551,0.889,2.0171,157,141,1,13.3988,0.8981,0.5875,53.326,sunflowerSeeds
,,,,,,,,,,,,
412,34.514,15.825,0.8887,27.0526,445,420,-5,22.9036,0.9258,0.6131,82.586,barley
,,,,,,,,,,,,
2279,105.6912,27.9946,0.9643,-25.3837,2373,2286,-4,53.8675,0.9604,0.4472,232.31,sunflowerSeeds
,,,,,,,,,,,,
463,62.1563,9.698,0.9878,6.424,494,463,1,24.2798,0.9372,0.6577,130.295,barley
,,,,,,,,,,,,
784,51.8711,19.313,0.9281,-0.8893,806,784,1,31.5946,0.9727,0.8091,114.128,peas
,,,,,,,,,,,,
2196,147.4109,19.357,0.9913,6.8354,2360,2199,-2,52.8775,0.9305,0.5446,305.747,sunflowerSeeds
,,,,,,,,,,,,
519,43.9986,15.0933,0.9393,-0.958,538,519,1,25.7063,0.9647,0.7689,96.471,peas
,,,,,,,,,,,,
2802,142.4862,25.3626,0.984,-9.9178,2899,2802,1,59.7295,0.9665,0.556,293.92,sunflowerSeeds
,,,,,,,,,,,,
241,28.5534,10.9636,0.9233,18.8175,257,241,1,17.5172,0.9377,0.6148,64.061,wheat
,,,,,,,,,,,,
369,65.9923,7.7473,0.9931,-8.9936,442,369,1,21.6755,0.8348,0.3994,135.787,sunflowerSeeds
,,,,,,,,,,,,
1160,83.4611,18.4565,0.9752,-20.0792,1246,1160,1,38.4312,0.931,0.4212,179.19,sunflowerSeeds
,,,,,,,,,,,,
729,53.0421,17.6005,0.9433,2.9597,753,730,0,30.4662,0.9681,0.7642,115.36,peas
,,,,,,,,,,,,
